gene_name,TM_PC,TM_D14,TM_D21,TM_D28,TM_D42_D14P1
COL1A1,1221351,1637808,2344749,1047485,715004
LOC119877774,664878,1001548,2341896,936727,1142225
COL3A1,679052,1068013,1789548,788783,522452
COL1A2,836489,1025958,1433533,684534,400102
FN1,43379,1044284,1217119,601211,366473
LOC119877775,259777,309091,918598,445278,550209
SPARC,207752,285011,478518,221274,141658
VIM,57892,412012,694909,233608,218378
COX1,238045,359634,396808,112246,83434
COL6A1,110120,284803,432564,173536,139603
COL5A1,129647,218990,315913,147639,102492
COL5A2,142122,186384,306045,147653,101630
COL6A2,47800,203210,312871,130123,109377
MMP2,78403,121047,219326,81385,37906
COL6A3,91287,252474,283100,104202,65259
ATP6,146245,126428,137660,34932,22402
ACTG1,32416,161978,229931,82855,74056
LRP1,16523,177013,245795,95427,54807
GSN,13377,133609,248026,131724,84370
FSTL1,21997,123207,196837,101405,71780
ND4,108675,124031,120523,29155,17430
COX3,137699,97267,115960,28879,23018
BGN,44362,113767,172188,86190,55901
PLEC,40851,165290,220459,64110,60446
EEF2,34330,111821,192745,82097,53708
CTSB,14939,71697,159461,30222,16190
COX2,60042,114952,127951,37548,24872
FBN1,5499,165385,189622,88839,56069
FTL,13346,83789,216440,48310,26046
LOC403631,9632,85891,184469,47695,27720
SERPINH1,46839,81259,120600,53852,29134
POSTN,214445,49562,113995,27781,24249
FLNA,28951,115945,133517,47957,43045
APP,79383,64890,105656,41448,30510
COL12A1,153270,53913,100133,62444,41210
MMP14,56164,71555,102169,31657,18129
GAPDH,22932,52149,75774,26664,24062
MMP9,3887,223720,141168,26813,4305
LMNA,23540,90831,139102,42258,36828
LUM,96176,34652,55315,24667,11596
THY1,19264,61755,77797,43894,22669
CD99,25821,72116,116562,44468,37370
RPS2,27984,58819,104538,43423,32390
PSAP,19481,56600,105553,30281,17446
PABPC1,23489,46967,77853,28384,20663
ANXA2,16699,73108,112215,36185,32016
MXRA5,23974,75721,78828,30951,14746
SFRP2,14028,41976,88394,68876,16002
TPT1,17138,47138,90509,40876,22906
AHNAK,8671,103905,118097,32658,28397
P4HB,48696,47982,79200,29942,20460
TNC,66044,79322,58382,31136,10740
COL11A1,128111,7211,26215,16910,18273
GNAS,45053,41276,69112,25412,21494
ND5,36131,64399,56857,13884,9763
HTRA1,26010,49074,84009,32357,18962
ENO1,33269,37709,54989,19597,11831
MYH9,18554,71841,87406,32216,28934
AEBP1,18763,56893,90123,34097,18121
RPL4,18578,41079,66619,27120,16632
RPSA,15965,42286,74802,31129,25288
DPYSL3,12284,57778,80885,35448,22526
DCN,58517,29432,44679,19311,7286
HSP90AB1,20618,47946,64696,24459,19436
EIF4G2,12063,55596,64924,25723,15482
HSPG2,26905,62235,74388,25039,23419
rna-NC_002008_4_1091__2670,5054,12996,137189,39660,70653
LAMC1,27676,40621,58620,29369,22284
ITGA5,15212,62144,77751,23378,33381
RPL13A,15609,35592,61684,27898,17519
TPM4,23489,42708,55574,17462,16728
TNN,58171,22019,44293,29172,21021
RPS4X,15890,35576,60352,26731,15953
LGALS3,2817,49574,81454,25220,22618
LOC119866377,9885,54030,81264,18967,11479
CALU,23620,40371,56029,21776,18672
ELN,1284,53492,71643,37732,29917
CLU,1538,44665,101336,18224,10281
HSP90AA1,13953,38927,45247,16394,10669
ND1,50895,30997,32017,7635,5867
EMP1,5722,42664,77641,26165,26478
LOC607874,14552,35434,75666,25844,14059
LOXL2,18367,38267,75330,34077,32187
CTNNB1,21103,36569,52406,26826,19170
EEF1G,8256,32730,54200,23300,15145
CALR,17043,31696,43679,17428,11198
LOC100856547,15611,31101,57011,21239,17875
VCAN,28146,52451,49962,29094,12626
RPL8,21586,29272,54455,23806,15486
GPNMB,680,38613,89311,13921,6184
ALDOA,26408,23234,29520,11529,8397
ACTB,15742,37491,48536,17647,14662
ITGB1,16985,41376,56192,19947,16030
SLC25A6,16363,37647,64085,25236,18220
THBS1,5034,30435,68360,36977,43388
NOTCH2,10465,44448,56159,19012,16428
SCD,12672,14571,20905,4712,7910
LTBP2,1048,49627,60461,21827,28206
SEC61A1,16956,33127,47236,18622,13355
PGAM1,27592,18157,27494,9191,6828
HSP90B1,29235,32787,40288,15866,8963
RPL5,15251,26332,37938,16053,10403
LAMA4,23011,25559,30801,14452,6915
RPLP0,8393,29487,55377,24472,18306
EIF4G1,17563,25463,35303,11881,9966
HSPA8,5506,37860,47537,14850,7885
YBX1,12434,28766,47563,15254,13324
COL4A2,27424,35145,48946,24856,23183
RPL13,13754,23762,40016,17470,11140
PKD1,9884,40978,53592,24736,21267
TUBB,8200,32267,45931,12029,6238
RPS19,15433,23354,46102,21260,12248
CYBRD1,4482,25538,65858,31197,29570
CANX,10010,29457,42635,16142,11287
ACAN,45251,27166,16603,7090,4188
PRELP,5344,27677,56327,35528,29036
RPS6,6816,28117,43761,19893,12138
RACK1,5923,27442,47233,18467,13024
CTSK,5481,30679,68012,11217,6491
FBLN2,6129,36196,48392,23706,15264
PDIA3,24623,30559,45520,15637,10564
ND2,38098,28609,28098,5946,4644
GJA1,32876,17633,23807,10551,5607
RPLP1,8762,23393,44652,17718,13239
CTSD,8625,22256,45917,9908,5892
RPL15,15832,25512,39882,16939,12002
RPS8,10554,22597,42488,16897,11330
LGALS1,13231,25919,46722,13016,10773
ITGAV,10761,39784,40742,15504,11937
RPS14,10133,21035,38763,17481,10610
RPS3A,11081,22202,40979,17517,10113
RPS26,11447,21447,36184,15003,11722
FKBP10,20919,21917,40627,18244,11493
RPLP0P,7395,25571,47839,21365,15573
CALD1,8966,36451,42038,15937,10436
THBS2,38657,20018,38459,15184,13114
CYTB,39141,16371,16931,4648,3285
HSPA5,10896,30938,35719,15003,9609
RPS5,8090,19461,35589,16193,8933
MFGE8,8330,28501,47087,21235,14200
OLFML2B,15116,29913,38568,17297,7318
RPS3,6818,24672,45596,18627,11588
RPL7,7234,26293,39419,17427,11121
ITM2B,4287,24646,44138,16967,11200
ANXA1,6388,24719,47116,14504,15448
CAPN2,6169,37355,48525,17327,15656
HDLBP,10980,31795,42174,15792,11965
LAMB1,16261,28301,33114,14294,7732
EEF1A1,6540,27925,45363,20364,13417
CLIC4,7937,35294,48859,17931,16181
ABI3BP,532,26078,29064,15889,5764
EDIL3,17015,28129,40261,14025,8679
GPC1,24715,15319,24153,8720,7841
RRBP1,14846,27583,31343,12123,8523
BSG,7367,22888,45313,20108,13854
SRRM2,14304,24116,33787,10359,8690
AP2M1,16610,18597,28621,10064,9300
SMPDL3A,409,4368,6719,1083,697
ANXA5,9052,30798,52438,17584,12533
PTMA,14542,23815,32584,10102,6750
CCDC80,12231,18202,35048,18093,14820
DYNC1H1,9281,38559,42896,12513,9212
CSPG4,10384,41204,41017,16582,17333
LAMP1,10252,21116,40232,14789,10395
CD63,13408,22850,38282,13059,11191
CSDE1,8094,23062,33486,11905,7528
HNRNPK,10991,23626,32901,11385,9124
RPS9,7340,19995,32953,14376,9224
RPS11,9583,19537,35044,14409,9334
EZR,9220,26241,38597,11253,13300
RPL6,10219,23617,41413,17560,11164
MYO1D,4097,37544,54880,19110,18408
RBP4,6079,23213,34345,11012,10676
ACTN4,15709,23382,34690,12182,10364
COL2A1,145834,55,1817,75,120
RPL18A,12108,16065,32407,12684,9119
GPX1,3715,29990,48294,16348,8521
TAGLN2,12453,27301,37581,12260,10453
PRRX1,7894,22137,29532,10041,9042
PPIA,7018,25477,36445,10355,10785
RPL12,7480,20831,33750,15278,9095
RPL19,9859,19409,32384,14361,9745
MXRA8,5848,25661,51357,17219,10832
ATF4,5627,20924,35696,13502,10992
LOC106557449,10,0,0,0,2
IGFBP4,2917,15770,21193,13073,7078
CDKN1A,1058,18680,41425,20920,14087
ITGB5,14978,15873,30318,10911,10025
GLUD1,6310,23164,38708,10845,11488
FGFR1,10197,22754,29290,13500,9318
NPM1,5774,14912,24047,8681,6497
ANTXR1,12223,15850,22045,9901,4525
COPA,9890,23881,32614,12333,9081
PCOLCE,20879,15878,26874,15137,5744
LDHA,8314,19467,21375,9217,5005
rna-NC_002008_4_70__1023,6508,5779,57103,16167,29378
RPS7,7490,17337,29748,13030,7655
PLS3,10809,24282,37259,13366,13018
CALM1,10790,22055,31998,10506,7474
CFL1,8573,22152,31652,9131,7589
PFN1,9559,18021,26070,8033,7125
CAVIN1,7677,24709,43163,15379,15221
TMSB10,10715,19173,28828,10516,7883
SHC1,13599,20852,30317,14063,8956
RPL7A,8130,18638,33462,13214,10299
RPS15,9908,17440,34748,14034,8984
LAMP2,5436,19810,38081,15755,8465
GRN,9414,18230,34197,10887,6538
TMEM43,8238,25183,38010,13494,11219
NRP2,6680,24881,39151,13372,11191
ASPN,57573,13300,20712,9137,8967
RPL18,8719,15918,27082,11372,7810
TGFBI,18117,9332,12428,3273,1794
RPL14,10013,16314,26077,10935,7781
NUCKS1,5117,18024,27225,7767,4331
TIMP1,6057,15920,20778,9015,7840
EIF4B,5839,20056,33927,14471,9818
QSOX1,4317,19011,37404,18658,16952
UBB,7714,17505,29329,11590,8869
APLP2,7642,18137,29870,10704,7751
SQSTM1,3141,21013,40159,12738,12059
RPL10A,6162,17784,30535,12848,8148
EIF1,6147,20357,31907,11506,9667
ATP5F1B,7838,22779,30339,9841,7922
PDIA4,12427,19923,28725,11239,6482
LOC119873568,8667,14803,22629,10816,8547
CD164,9597,16281,29398,9917,6936
ANGPTL2,36224,13240,18630,6456,3823
DDX5,7563,19943,25855,8597,8300
C1QTNF3,7065,12697,15789,7992,11993
RPS10,7683,12850,24804,10083,6881
EIF4A1,9860,21564,30815,9125,8512
COMP,6176,8668,26630,12677,31990
RPL17,6949,16914,26608,11039,6651
EIF5,5715,17883,21931,7555,5212
RPS20,4076,18210,30977,12832,10048
SCARA3,4838,28576,39946,12955,7215
HNRNPA2B1,7293,20527,25988,7833,5045
EHD2,7358,22698,34071,14211,13196
COL16A1,26188,18617,25777,10299,6318
RPL32,9373,14134,22939,11247,6681
UBA52,8170,13578,25407,10525,6832
RPS18,8157,14151,22513,9933,6956
FAT1,3996,28761,35872,11508,6506
COL14A1,2915,21460,36695,20583,5312
PCBP2,10562,14519,25634,8369,7602
LOC106557476,3904,23293,37733,10310,8631
PRRC2A,6068,19270,24009,8175,6459
DPT,8777,24277,30322,9437,6626
AKAP13,3996,25984,36170,12210,9104
ACTN1,6888,22107,26989,9989,9623
RPN2,12029,15467,25988,9446,6366
RAB31,5135,21362,35566,13252,7804
TPM1,5902,17755,28042,12201,13987
PDIA6,15412,16999,25752,9688,5776
PLOD1,23277,14372,22903,9653,6884
ADAM12,4343,27620,35636,11646,9998
LAMA2,532,24996,43127,20558,14492
TLN1,4903,24941,33170,10135,7507
PKM,9741,16275,22496,7407,6389
MRC2,16314,17210,23451,10648,5253
FASN,6298,17171,23629,7363,10197
LOC479795,7844,19067,26838,10441,8413
NFIC,9028,21739,27010,11368,7387
FOSL2,5490,16636,23229,8140,5958
TXNIP,1087,12878,34122,17039,6885
RTN4,4220,23358,28395,11454,7825
CDH13,5014,19086,37048,17321,10400
CAPG,3630,18628,33653,9385,9144
DPYSL2,7025,17891,28723,9588,9969
LOC489992,20917,10840,20439,7263,6723
RPS15A,9147,11433,22759,9234,5658
GPI,16733,11749,17247,7481,5654
S100A6,4212,17173,30216,12019,12896
CLIP2,5241,20080,30476,11056,9927
RPS16,12023,13129,24445,10155,7294
ND6,12015,20368,16391,4136,3728
DDX17,5587,16900,26448,9420,6995
SLIT3,8934,14545,36846,16709,12694
RPL9,3483,14808,20309,10772,7185
KDELR2,13852,13648,19437,7647,5943
ARPC1B,6472,18381,34921,10267,9839
TSC22D1,3206,15163,19190,7938,6645
NCL,7092,19531,23520,7774,5352
MAFB,5525,21475,34611,6121,1996
P4HA1,15027,9495,14601,7548,3624
SH3PXD2B,5745,15597,20031,5185,3216
RPS23,7131,16565,26898,12488,7605
FSCN1,20400,13543,22710,6846,5563
CLTC,7754,22345,26105,8225,5294
HNRNPU,6876,18636,19437,6787,5707
ACTR2,7152,16738,23762,7268,4660
TMBIM6,5221,15755,24866,10029,7879
GREM1,267,22897,32772,15066,12164
SPTAN1,3305,22411,29501,11685,8487
RPS27A,6432,12569,19814,8530,5792
WWTR1,7287,20373,22596,9933,8479
RPN1,12210,12262,24199,8705,6274
RPS25,7432,13297,18290,8677,5324
NQO1,2090,17356,29737,9524,10606
SERPINE2,3266,11677,17927,7592,5295
NIBAN2,3734,22350,32247,10363,9339
PIR,347,21317,37606,11458,11808
MSN,8367,19643,23015,8228,6391
MYO1C,5479,21383,29139,10760,9109
SH3PXD2A,16378,16090,16522,5248,3331
TIMP2,7566,16134,30204,8696,9080
CSNK1A1,4815,15608,21351,7896,5524
DST,2901,32988,30345,9409,6009
FARP1,7317,13479,24039,8521,4908
ROBO1,14406,14472,22923,9902,6867
CD81,5205,14902,24384,13444,8310
FHL1,3338,18359,28177,16620,8955
GAS6,2128,9927,29044,17299,9850
MAP4,4126,19085,27572,10248,8369
NAV1,5335,23478,22575,7559,6021
ADAMTS2,3556,14425,26746,14741,8356
SEPTIN9,7806,17704,22524,8071,5935
NUCB1,10240,11137,18209,8117,5914
PTGIS,3336,21690,33482,12012,9613
PAM,11519,13150,23809,10248,9835
